AGE,AGE1,AGE2,AGE3,AGE4,AGE5,Older_binary,Younger,Middle,Older,CAREGIVER,SERVICE,AUDASS,TAXLEG,ADVISO,SHARED,JOBLEVEL,Trainee,Junior,Senior,Assistantmanager,Manager,Seniormanager,Director,Partner,Infrastructure,CI_EquitableHR1,CI_EquitableHR2,CI_EquitableHR3,CI_EquitableHR4,CI_EquitableHR5,CI_IntegrationOfDiff1,CI_IntegrationOfDiff2,CI_IntegrationOfDiff3,CI_IntegrationOfDiff4,CI_IntegrationOfDiff5,CI_IntegrationOfDiff6,CI_IntegrationOfDiff7,CI_DecisionMaking1,CI_DecisionMaking2,CI_DecisionMaking3,CI,CI14,FINNISH,GenderBinary
2,0,1,0,0,0,0,0,1,0,1,2,0,1,0,0,5,0,0,0,0,1,0,0,0,0,3,3,5,2,2,4,2,2,2,2,2,3,2,2,2,2.533333333,2.5,1,0
1,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,9,0,0,0,0,0,0,0,0,1,3,3,3,2,4,3,3,4,3,5,5,4,4,4,5,3.666666667,3.642857143,1,1
2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,9,0,0,0,0,0,0,0,0,1,3,3,3,2,5,3,3,3,3,3,3,3,3,3,5,3.2,3.214285714,1,1
1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,4,2,3,2,2,4,5,2,4,7,4,5,2,2,2,3.333333333,3.214285714,1,1
2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,5,0,0,0,0,1,0,0,0,0,3,5,5,4,3,6,6,4,3,2,5,5,3,5,5,4.266666667,4.214285714,1,1
2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,5,3,5,5,2,6,3,4,3,3,5,5,5,3,3,4,3.928571429,1,0
2,0,1,0,0,0,0,0,1,0,1,3,0,0,1,0,5,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,3,4,5,5,3,3,5,5,5,4.533333333,4.642857143,1,1
2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,1,4,1,3,1,4,4,4,1,2,4,4,2,3,4,2.8,2.714285714,1,1
1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,3,3,2,2,2,6,2,4,6,6,3,4,2,2,2,3.266666667,3.214285714,1,0
1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,4,2,4,2,4,3,6,4,1,4,3,4,5,1,3,3.333333333,3.285714286,1,1
2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,6,0,0,0,0,0,1,0,0,0,6,6,6,6,6,6,2,4,3,5,6,6,5,4,3,4.933333333,4.857142857,1,0
1,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,9,0,0,0,0,0,0,0,0,1,1,3,5,2,2,6,5,4,5,7,6,6,3,2,5,4.133333333,4,1,1
3,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,4,0,0,0,1,0,0,0,0,0,1,1,1,1,1,2,1,2,1,2,1,3,3,1,4,1.666666667,1.571428571,1,1
2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,2,2,1,2,6,3,1,1,1,2,2,1,1,1,1.8,1.785714286,1,0
2,0,1,0,0,0,0,0,1,0,1,2,0,1,0,0,4,0,0,0,1,0,0,0,0,0,6,6,6,5,5,5,3,4,5,6,6,6,3,4,4,4.933333333,4.857142857,1,1
1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,2,2,1,1,5,4,4,1,5,4,6,5,1,2,2.933333333,2.714285714,1,0
2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,5,0,0,0,0,1,0,0,0,0,3,1,2,2,2,6,7,4,4,2,6,6,2,2,2,3.4,3.214285714,1,1
1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,2,3,5,1,2,5,2,2,4,3,2,2,2,2,1,2.533333333,2.571428571,1,1
3,0,0,1,0,0,0,0,1,0,0,4,0,0,0,1,9,0,0,0,0,0,0,0,0,1,3,2,2,4,1,3,4,2,2,4,2,4,2,2,4,2.733333333,2.642857143,1,1
1,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,9,0,0,0,0,0,0,0,0,1,7,6,5,2,7,6,6,6,4,6,5,3,4,3,4,4.933333333,5.071428571,1,1
1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,5,6,5,5,5,5,3,2,5,5,5,4,5,5,5,4.666666667,4.714285714,1,1
2,0,1,0,0,0,0,0,1,0,1,2,0,1,0,0,6,0,0,0,0,0,1,0,0,0,4,5,6,7,2,5,5,6,5,5,5,5,5,4,5,4.933333333,4.928571429,1,1
1,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,4,0,0,0,1,0,0,0,0,0,3,5,5,2,6,6,2,4,3,5,3,3,6,5,6,4.266666667,4.357142857,1,1
1,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,5,3,6,3,2,6,3,4,3,6,4,5,5,3,4,4.133333333,4.071428571,1,0
3,0,0,1,0,0,0,0,1,0,0,4,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,4,4,1,1,5,5,4,4,4,3,5,3,2,5,3.4,3.285714286,1,1
2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,9,0,0,0,0,0,0,0,0,1,4,5,5,4,4,3,5,4,2,5,3,4,5,4,5,4.133333333,4.142857143,1,1
2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,4,4,1,3,5,5,3,3,5,3,4,3,4,4,3.533333333,3.5,1,1
2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,6,5,5,4,5,6,5,4,6,7,6,6,5,6,6,5.466666667,5.428571429,1,0
